sample_unit_id,State_County1,State_County1_Percent,State_County2,State_County2_Percent,State_County3,State_County3_Percent,State_County4,State_County4_Percent
107509,Idaho_Lemhi,100.00,NA,0.00,NA,0.00,NA,0.00
89379,California_Tehama,100.00,NA,0.00,NA,0.00,NA,0.00
129206,Washington_Jefferson,70.77,Washington_Clallam,29.23,NA,0.00,NA,0.00
128781,Washington_Okanogan,100.00,NA,0.00,NA,0.00,NA,0.00
53759,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00
81974,California_Placer,100.00,NA,0.00,NA,0.00,NA,0.00
113025,Oregon_Morrow,100.00,NA,0.00,NA,0.00,NA,0.00
53282,California_Orange,98.43,California_Los Angeles,1.57,NA,0.00,NA,0.00
96806,Oregon_Lake,100.00,NA,0.00,NA,0.00,NA,0.00
95024,Idaho_Caribou,57.74,Idaho_Bingham,42.26,NA,0.00,NA,0.00
105134,Oregon_Klamath,100.00,NA,0.00,NA,0.00,NA,0.00
116264,Washington_Klickitat,100.00,NA,0.00,NA,0.00,NA,0.00
96313,California_Humboldt,100.00,NA,0.00,NA,0.00,NA,0.00
101934,Idaho_Ada,97.54,Idaho_Canyon,2.46,NA,0.00,NA,0.00
68559,California_Fresno,65.54,California_Tulare,34.46,NA,0.00,NA,0.00
97302,Idaho_Owyhee,100.00,NA,0.00,NA,0.00,NA,0.00
64849,California_Tulare,100.00,NA,0.00,NA,0.00,NA,0.00
131072,Washington_Skagit,100.00,NA,0.00,NA,0.00,NA,0.00
116711,Washington_Skamania,74.66,Washington_Clark,25.34,NA,0.00,NA,0.00
104729,Idaho_Custer,69.16,Idaho_Lemhi,30.84,NA,0.00,NA,0.00
73660,California_Mono,100.00,NA,0.00,NA,0.00,NA,0.00
118615,Idaho_Shoshone,100.00,NA,0.00,NA,0.00,NA,0.00
91701,California_Shasta,97.36,California_Lassen,2.64,NA,0.00,NA,0.00
113930,Oregon_Clackamas,100.00,NA,0.00,NA,0.00,NA,0.00
123700,Washington_Spokane,100.00,NA,0.00,NA,0.00,NA,0.00
59324,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00
102386,Oregon_Malheur,100.00,NA,0.00,NA,0.00,NA,0.00
97272,Oregon_Lake,100.00,NA,0.00,NA,0.00,NA,0.00
100552,Idaho_Elmore,100.00,NA,0.00,NA,0.00,NA,0.00
109303,Oregon_Deschutes,100.00,NA,0.00,NA,0.00,NA,0.00
130617,Washington_Whatcom,90.66,Washington_Skagit,9.34,NA,0.00,NA,0.00
96775,California_Humboldt,100.00,NA,0.00,NA,0.00,NA,0.00
115352,Washington_Walla Walla,100.00,NA,0.00,NA,0.00,NA,0.00
70879,California_Inyo,99.98,California_Fresno,0.02,NA,0.00,NA,0.00
123656,Washington_Thurston,100.00,NA,0.00,NA,0.00,NA,0.00
97742,Oregon_Harney,100.00,NA,0.00,NA,0.00,NA,0.00
125092,Idaho_Bonner,100.00,NA,0.00,NA,0.00,NA,0.00
84737,California_Lake,66.93,California_Mendocino,33.07,NA,0.00,NA,0.00
60212,California_Santa Barbara,100.00,NA,0.00,NA,0.00,NA,0.00
131055,Washington_Clallam,100.00,NA,0.00,NA,0.00,NA,0.00
122740,Washington_Pierce,73.29,Washington_Yakima,20.68,Washington_King,3.53,Washington_Kittitas,2.49
104277,Idaho_Lemhi,90.13,Montana_Beaverhead,9.87,NA,0.00,NA,0.00
53774,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00
74113,California_Mariposa,100.00,NA,0.00,NA,0.00,NA,0.00
118609,Idaho_Benewah,50.52,Idaho_Latah,49.48,NA,0.00,NA,0.00
99113,Oregon_Klamath,100.00,NA,0.00,NA,0.00,NA,0.00
94086,Idaho_Blaine,56.44,Idaho_Cassia,22.57,Idaho_Power,20.99,NA,0.00
112992,Oregon_Lincoln,100.00,NA,0.00,NA,0.00,NA,0.00
120917,Washington_Spokane,100.00,NA,0.00,NA,0.00,NA,0.00
64873,California_Inyo,100.00,NA,0.00,NA,0.00,NA,0.00
108393,Oregon_Wheeler,55.28,Oregon_Grant,44.72,NA,0.00,NA,0.00
94488,California_Modoc,100.00,NA,0.00,NA,0.00,NA,0.00
97787,Idaho_Blaine,100.00,NA,0.00,NA,0.00,NA,0.00
106511,Oregon_Douglas,100.00,NA,0.00,NA,0.00,NA,0.00
125985,Washington_King,75.23,Washington_Snohomish,18.37,Washington_Chelan,6.39,NA,0.00
89368,California_Mendocino,77.20,California_Trinity,22.80,NA,0.00,NA,0.00
115828,Idaho_Nez Perce,100.00,NA,0.00,NA,0.00,NA,0.00
71784,California_Merced,100.00,NA,0.00,NA,0.00,NA,0.00
128752,Washington_Jefferson,100.00,NA,0.00,NA,0.00,NA,0.00
111207,Idaho_Idaho,100.00,NA,0.00,NA,0.00,NA,0.00
44967,California_Imperial,39.56,NA,0.00,NA,0.00,NA,0.00
101451,Oregon_Harney,100.00,NA,0.00,NA,0.00,NA,0.00
75016,California_Santa Clara,59.98,California_San Mateo,39.85,California_Santa Cruz,0.17,NA,0.00
64400,California_Inyo,100.00,NA,0.00,NA,0.00,NA,0.00
94532,Idaho_Owyhee,100.00,NA,0.00,NA,0.00,NA,0.00
58396,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00
80592,California_El Dorado,100.00,NA,0.00,NA,0.00,NA,0.00
115350,Washington_Walla Walla,100.00,NA,0.00,NA,0.00,NA,0.00
56524,California_Los Angeles,100.00,NA,0.00,NA,0.00,NA,0.00
97256,California_Siskiyou,100.00,NA,0.00,NA,0.00,NA,0.00
98714,Idaho_Blaine,91.99,Idaho_Butte,8.01,NA,0.00,NA,0.00
107925,Oregon_Crook,100.00,NA,0.00,NA,0.00,NA,0.00
118584,Washington_Benton,100.00,NA,0.00,NA,0.00,NA,0.00
73642,California_Merced,100.00,NA,0.00,NA,0.00,NA,0.00
104246,Oregon_Malheur,69.72,Idaho_Payette,30.28,NA,0.00,NA,0.00
50043,California_San Diego,38.52,NA,0.00,NA,0.00,NA,0.00
104665,Oregon_Douglas,100.00,NA,0.00,NA,0.00,NA,0.00
99617,Idaho_Owyhee,92.72,Idaho_Canyon,6.55,Idaho_Ada,0.73,NA,0.00
94458,California_Humboldt,100.00,NA,0.00,NA,0.00,NA,0.00
72258,California_Madera,100.00,NA,0.00,NA,0.00,NA,0.00
116699,Oregon_Tillamook,100.00,NA,0.00,NA,0.00,NA,0.00
115375,Idaho_Clearwater,100.00,NA,0.00,NA,0.00,NA,0.00
50521,California_Riverside,100.00,NA,0.00,NA,0.00,NA,0.00
77335,California_Contra Costa,100.00,NA,0.00,NA,0.00,NA,0.00
119485,Washington_Cowlitz,57.03,Oregon_Columbia,42.97,NA,0.00,NA,0.00
102870,Idaho_Boise,99.24,Idaho_Elmore,0.76,NA,0.00,NA,0.00
44975,California_Imperial,100.00,NA,0.00,NA,0.00,NA,0.00
89390,California_Lassen,100.00,NA,0.00,NA,0.00,NA,0.00
94078,Idaho_Twin Falls,75.60,Idaho_Jerome,24.40,NA,0.00,NA,0.00
128278,Washington_Jefferson,100.00,NA,0.00,NA,0.00,NA,0.00
126466,Washington_Okanogan,71.58,Washington_Ferry,28.42,NA,0.00,NA,0.00
51448,California_Riverside,100.00,NA,0.00,NA,0.00,NA,0.00
80116,California_Solano,85.25,California_Yolo,14.75,NA,0.00,NA,0.00
114412,Oregon_Gilliam,99.59,Oregon_Morrow,0.41,NA,0.00,NA,0.00
95875,California_Modoc,100.00,NA,0.00,NA,0.00,NA,0.00
95946,Idaho_Bingham,100.00,NA,0.00,NA,0.00,NA,0.00
113472,Oregon_Clackamas,84.56,Oregon_Wasco,15.44,NA,0.00,NA,0.00
119042,Washington_Yakima,100.00,NA,0.00,NA,0.00,NA,0.00
96777,California_Humboldt,88.29,California_Del Norte,11.56,California_Siskiyou,0.15,NA,0.00
109335,Oregon_Baker,51.76,Oregon_Union,48.24,NA,0.00,NA,0.00
66254,California_Inyo,100.00,NA,0.00,NA,0.00,NA,0.00
95455,Idaho_Owyhee,100.00,NA,0.00,NA,0.00,NA,0.00
80111,California_Napa,100.00,NA,0.00,NA,0.00,NA,0.00
61145,California_Kern,100.00,NA,0.00,NA,0.00,NA,0.00
132456,Washington_San Juan,93.54,NA,0.00,NA,0.00,NA,0.00
117643,Washington_Klickitat,97.55,Washington_Skamania,1.67,Washington_Yakima,0.78,NA,0.00
100586,Idaho_Fremont,100.00,NA,0.00,NA,0.00,NA,0.00
58365,California_Ventura,100.00,NA,0.00,NA,0.00,NA,0.00
92159,California_Shasta,100.00,NA,0.00,NA,0.00,NA,0.00
114854,Oregon_Clackamas,94.88,Oregon_Marion,5.12,NA,0.00,NA,0.00
118131,Washington_Franklin,99.40,Washington_Walla Walla,0.60,NA,0.00,NA,0.00
61174,California_San Bernardino,94.25,California_Inyo,5.75,NA,0.00,NA,0.00
105159,Oregon_Harney,68.90,Oregon_Grant,31.10,NA,0.00,NA,0.00
101482,Idaho_Elmore,99.41,Idaho_Camas,0.59,NA,0.00,NA,0.00
110232,Oregon_Jefferson,100.00,NA,0.00,NA,0.00,NA,0.00
128765,Washington_Skagit,77.00,Washington_Snohomish,15.55,Washington_Chelan,7.45,NA,0.00
68574,California_Inyo,100.00,NA,0.00,NA,0.00,NA,0.00
111657,Oregon_Wallowa,100.00,NA,0.00,NA,0.00,NA,0.00
72725,California_Madera,100.00,NA,0.00,NA,0.00,NA,0.00
126901,Washington_Kitsap,88.56,Washington_King,11.44,NA,0.00,NA,0.00
126481,Idaho_Bonner,100.00,NA,0.00,NA,0.00,NA,0.00
87060,California_Glenn,100.00,NA,0.00,NA,0.00,NA,0.00
62543,California_Kern,100.00,NA,0.00,NA,0.00,NA,0.00
66686,California_Monterey,100.00,NA,0.00,NA,0.00,NA,0.00
120885,Washington_Lewis,100.00,NA,0.00,NA,0.00,NA,0.00
106122,Idaho_Lemhi,100.00,NA,0.00,NA,0.00,NA,0.00
54239,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00
75965,California_Tuolumne,100.00,NA,0.00,NA,0.00,NA,0.00
121390,Idaho_Kootenai,62.27,Idaho_Shoshone,37.73,NA,0.00,NA,0.00
55603,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00
94932,California_Trinity,94.50,California_Siskiyou,5.50,NA,0.00,NA,0.00
91319,Idaho_Franklin,100.00,NA,0.00,NA,0.00,NA,0.00
102370,Oregon_Harney,100.00,NA,0.00,NA,0.00,NA,0.00
117681,Idaho_Latah,100.00,NA,0.00,NA,0.00,NA,0.00
61166,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00
77346,California_Calaveras,100.00,NA,0.00,NA,0.00,NA,0.00
106544,Oregon_Grant,100.00,NA,0.00,NA,0.00,NA,0.00
108373,Oregon_Lane,100.00,NA,0.00,NA,0.00,NA,0.00
123670,Washington_Kittitas,100.00,NA,0.00,NA,0.00,NA,0.00
88910,California_Tehama,100.00,NA,0.00,NA,0.00,NA,0.00
70398,California_Fresno,100.00,NA,0.00,NA,0.00,NA,0.00
126904,Washington_King,69.44,Washington_Snohomish,30.56,NA,0.00,NA,0.00
112128,Idaho_Idaho,100.00,NA,0.00,NA,0.00,NA,0.00
46812,California_San Diego,100.00,NA,0.00,NA,0.00,NA,0.00
100990,Oregon_Harney,100.00,NA,0.00,NA,0.00,NA,0.00
126024,Idaho_Boundary,93.05,Montana_Lincoln,6.95,NA,0.00,NA,0.00
79644,California_Marin,100.00,NA,0.00,NA,0.00,NA,0.00
60686,California_Kern,100.00,NA,0.00,NA,0.00,NA,0.00
129250,Washington_Ferry,98.32,Washington_Stevens,1.68,NA,0.00,NA,0.00
55153,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00
82441,California_Placer,100.00,NA,0.00,NA,0.00,NA,0.00
115343,Oregon_Morrow,61.15,Washington_Benton,38.85,NA,0.00,NA,0.00
52825,California_Riverside,100.00,NA,0.00,NA,0.00,NA,0.00
95408,California_Modoc,100.00,NA,0.00,NA,0.00,NA,0.00
98724,Idaho_Jefferson,87.53,Idaho_Bonneville,8.38,Idaho_Bingham,4.09,NA,0.00
106063,Oregon_Deschutes,100.00,NA,0.00,NA,0.00,NA,0.00
116271,Washington_Benton,100.00,NA,0.00,NA,0.00,NA,0.00
79190,California_Solano,99.38,California_Yolo,0.53,California_Sacramento,0.09,NA,0.00
101926,Oregon_Malheur,100.00,NA,0.00,NA,0.00,NA,0.00
47268,California_San Diego,100.00,NA,0.00,NA,0.00,NA,0.00
104662,Oregon_Douglas,100.00,NA,0.00,NA,0.00,NA,0.00
101011,Idaho_Ada,54.81,Idaho_Boise,44.37,Idaho_Elmore,0.82,NA,0.00
92143,California_Humboldt,100.00,NA,0.00,NA,0.00,NA,0.00
70406,California_Fresno,99.08,California_Madera,0.92,NA,0.00,NA,0.00
123185,Washington_Pacific,100.00,NA,0.00,NA,0.00,NA,0.00
114918,Idaho_Idaho,100.00,NA,0.00,NA,0.00,NA,0.00
65299,California_San Luis Obispo,100.00,NA,0.00,NA,0.00,NA,0.00
118555,Oregon_Columbia,58.07,Oregon_Clatsop,37.26,Oregon_Tillamook,3.27,Oregon_Washington,1.40
101941,Idaho_Boise,98.15,Idaho_Elmore,1.85,NA,0.00,NA,0.00
88921,California_Tehama,97.01,California_Plumas,2.99,NA,0.00,NA,0.00
92224,Idaho_Twin Falls,100.00,NA,0.00,NA,0.00,NA,0.00
112536,Oregon_Linn,93.52,Oregon_Marion,6.48,NA,0.00,NA,0.00
126470,Washington_Ferry,100.00,NA,0.00,NA,0.00,NA,0.00
55146,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00
103304,Oregon_Harney,100.00,NA,0.00,NA,0.00,NA,0.00
98199,Oregon_Lake,100.00,NA,0.00,NA,0.00,NA,0.00
101488,Idaho_Custer,100.00,NA,0.00,NA,0.00,NA,0.00
113478,Oregon_Sherman,71.47,Oregon_Wasco,28.53,NA,0.00,NA,0.00
120891,Washington_Yakima,100.00,NA,0.00,NA,0.00,NA,0.00
100487,Oregon_Josephine,94.85,Oregon_Jackson,5.15,NA,0.00,NA,0.00
110726,Oregon_Union,66.92,Oregon_Wallowa,33.08,NA,0.00,NA,0.00
67640,California_Inyo,100.00,NA,0.00,NA,0.00,NA,0.00
103723,Oregon_Curry,81.39,Oregon_Coos,18.61,NA,0.00,NA,0.00
98689,Idaho_Owyhee,100.00,NA,0.00,NA,0.00,NA,0.00
81502,California_Napa,57.17,California_Yolo,42.83,NA,0.00,NA,0.00
62067,California_San Luis Obispo,57.40,California_Kern,42.60,NA,0.00,NA,0.00
69922,California_Monterey,78.05,NA,0.00,NA,0.00,NA,0.00
121344,Washington_Lewis,100.00,NA,0.00,NA,0.00,NA,0.00
77358,California_Mono,100.00,NA,0.00,NA,0.00,NA,0.00
56052,California_Ventura,100.00,NA,0.00,NA,0.00,NA,0.00
93083,California_Shasta,100.00,NA,0.00,NA,0.00,NA,0.00
90852,Idaho_Oneida,100.00,NA,0.00,NA,0.00,NA,0.00
110678,Oregon_Lane,100.00,NA,0.00,NA,0.00,NA,0.00
116280,Washington_Columbia,61.97,Washington_Walla Walla,38.03,NA,0.00,NA,0.00
63025,California_Inyo,100.00,NA,0.00,NA,0.00,NA,0.00
106550,Oregon_Baker,68.41,Oregon_Grant,31.59,NA,0.00,NA,0.00
96847,Idaho_Elmore,52.63,Idaho_Owyhee,47.37,NA,0.00,NA,0.00
110698,Oregon_Jefferson,100.00,NA,0.00,NA,0.00,NA,0.00
128774,Washington_Okanogan,100.00,NA,0.00,NA,0.00,NA,0.00
110266,Oregon_Wallowa,100.00,NA,0.00,NA,0.00,NA,0.00
69010,California_Fresno,100.00,NA,0.00,NA,0.00,NA,0.00
127372,Washington_Snohomish,100.00,NA,0.00,NA,0.00,NA,0.00
50067,California_Riverside,100.00,NA,0.00,NA,0.00,NA,0.00
95901,Oregon_Malheur,100.00,NA,0.00,NA,0.00,NA,0.00
85665,California_Lake,100.00,NA,0.00,NA,0.00,NA,0.00
65323,California_Tulare,100.00,NA,0.00,NA,0.00,NA,0.00
95489,Idaho_Bingham,69.62,Idaho_Bonneville,30.38,NA,0.00,NA,0.00
108901,Idaho_Lemhi,100.00,NA,0.00,NA,0.00,NA,0.00
84755,California_Sierra,59.30,California_Yuba,40.70,NA,0.00,NA,0.00
112565,Oregon_Morrow,100.00,NA,0.00,NA,0.00,NA,0.00
57916,California_Los Angeles,62.88,California_Kern,37.12,NA,0.00,NA,0.00
98636,California_Siskiyou,100.00,NA,0.00,NA,0.00,NA,0.00
92703,Idaho_Oneida,60.47,Idaho_Power,35.65,Idaho_Bannock,3.87,NA,0.00
102366,Oregon_Lake,100.00,NA,0.00,NA,0.00,NA,0.00
122763,Washington_Lincoln,100.00,NA,0.00,NA,0.00,NA,0.00
62096,California_Inyo,100.00,NA,0.00,NA,0.00,NA,0.00
79663,California_El Dorado,100.00,NA,0.00,NA,0.00,NA,0.00
106100,Idaho_Washington,100.00,NA,0.00,NA,0.00,NA,0.00
50971,California_Riverside,54.99,California_San Diego,45.01,NA,0.00,NA,0.00
107441,Oregon_Lane,100.00,NA,0.00,NA,0.00,NA,0.00
123682,Washington_Douglas,65.49,Washington_Grant,34.51,NA,0.00,NA,0.00
88437,California_Mendocino,100.00,NA,0.00,NA,0.00,NA,0.00
66702,California_Tulare,99.75,California_Kings,0.25,NA,0.00,NA,0.00
124594,Washington_Kittitas,90.41,Washington_King,9.59,NA,0.00,NA,0.00
113519,Idaho_Idaho,100.00,NA,0.00,NA,0.00,NA,0.00
46353,California_Imperial,100.00,NA,0.00,NA,0.00,NA,0.00
99605,Oregon_Malheur,100.00,NA,0.00,NA,0.00,NA,0.00
61153,California_Kern,100.00,NA,0.00,NA,0.00,NA,0.00
125503,Washington_Grays Harbor,81.35,Washington_Mason,18.65,NA,0.00,NA,0.00
129255,Washington_Stevens,37.23,NA,0.00,NA,0.00,NA,0.00
52841,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00
84749,California_Butte,100.00,NA,0.00,NA,0.00,NA,0.00
111635,Oregon_Morrow,56.66,Oregon_Gilliam,42.92,Oregon_Wheeler,0.43,NA,0.00
52828,California_Riverside,100.00,California_San Bernardino,0.00,NA,0.00,NA,0.00
100041,Oregon_Klamath,100.00,NA,0.00,NA,0.00,NA,0.00
100112,Idaho_Jefferson,61.52,Idaho_Butte,38.48,NA,0.00,NA,0.00
108839,Oregon_Deschutes,66.45,Oregon_Lane,33.55,NA,0.00,NA,0.00
119974,Washington_Grant,100.00,NA,0.00,NA,0.00,NA,0.00
