sample_unit_id,State1,State1_Percent,State2,State2_Percent,State3,State3_Percent
107509,Idaho,100.00,NA,0.00,NA,0.00
89379,California,100.00,NA,0.00,NA,0.00
129206,Washington,100.00,NA,0.00,NA,0.00
128781,Washington,100.00,NA,0.00,NA,0.00
53759,California,100.00,NA,0.00,NA,0.00
81974,California,100.00,NA,0.00,NA,0.00
113025,Oregon,100.00,NA,0.00,NA,0.00
53282,California,100.00,NA,0.00,NA,0.00
96806,Oregon,100.00,NA,0.00,NA,0.00
95024,Idaho,100.00,NA,0.00,NA,0.00
105134,Oregon,100.00,NA,0.00,NA,0.00
116264,Washington,100.00,NA,0.00,NA,0.00
96313,California,100.00,NA,0.00,NA,0.00
101934,Idaho,100.00,NA,0.00,NA,0.00
68559,California,100.00,NA,0.00,NA,0.00
97302,Idaho,100.00,NA,0.00,NA,0.00
64849,California,100.00,NA,0.00,NA,0.00
131072,Washington,100.00,NA,0.00,NA,0.00
116711,Washington,100.00,NA,0.00,NA,0.00
104729,Idaho,100.00,NA,0.00,NA,0.00
73660,California,100.00,NA,0.00,NA,0.00
118615,Idaho,100.00,NA,0.00,NA,0.00
91701,California,100.00,NA,0.00,NA,0.00
113930,Oregon,100.00,NA,0.00,NA,0.00
123700,Washington,100.00,NA,0.00,NA,0.00
59324,California,100.00,NA,0.00,NA,0.00
102386,Oregon,100.00,NA,0.00,NA,0.00
97272,Oregon,100.00,NA,0.00,NA,0.00
100552,Idaho,100.00,NA,0.00,NA,0.00
109303,Oregon,100.00,NA,0.00,NA,0.00
130617,Washington,100.00,NA,0.00,NA,0.00
96775,California,100.00,NA,0.00,NA,0.00
115352,Washington,100.00,NA,0.00,NA,0.00
70879,California,100.00,NA,0.00,NA,0.00
123656,Washington,100.00,NA,0.00,NA,0.00
97742,Oregon,100.00,NA,0.00,NA,0.00
125092,Idaho,100.00,NA,0.00,NA,0.00
84737,California,100.00,NA,0.00,NA,0.00
60212,California,100.00,NA,0.00,NA,0.00
131055,Washington,100.00,NA,0.00,NA,0.00
122740,Washington,100.00,NA,0.00,NA,0.00
104277,Idaho,90.13,Montana,9.87,NA,0.00
53774,California,100.00,NA,0.00,NA,0.00
74113,California,100.00,NA,0.00,NA,0.00
118609,Idaho,100.00,NA,0.00,NA,0.00
99113,Oregon,100.00,NA,0.00,NA,0.00
94086,Idaho,100.00,NA,0.00,NA,0.00
112992,Oregon,100.00,NA,0.00,NA,0.00
120917,Washington,100.00,NA,0.00,NA,0.00
64873,California,100.00,NA,0.00,NA,0.00
108393,Oregon,100.00,NA,0.00,NA,0.00
94488,California,100.00,NA,0.00,NA,0.00
97787,Idaho,100.00,NA,0.00,NA,0.00
106511,Oregon,100.00,NA,0.00,NA,0.00
125985,Washington,100.00,NA,0.00,NA,0.00
89368,California,100.00,NA,0.00,NA,0.00
115828,Idaho,100.00,NA,0.00,NA,0.00
71784,California,100.00,NA,0.00,NA,0.00
128752,Washington,100.00,NA,0.00,NA,0.00
111207,Idaho,100.00,NA,0.00,NA,0.00
44967,California,39.56,NA,0.00,NA,0.00
101451,Oregon,100.00,NA,0.00,NA,0.00
75016,California,100.00,NA,0.00,NA,0.00
64400,California,100.00,NA,0.00,NA,0.00
94532,Idaho,100.00,NA,0.00,NA,0.00
58396,California,100.00,NA,0.00,NA,0.00
80592,California,100.00,NA,0.00,NA,0.00
115350,Washington,100.00,NA,0.00,NA,0.00
56524,California,100.00,NA,0.00,NA,0.00
97256,California,100.00,NA,0.00,NA,0.00
98714,Idaho,100.00,NA,0.00,NA,0.00
107925,Oregon,100.00,NA,0.00,NA,0.00
118584,Washington,100.00,NA,0.00,NA,0.00
73642,California,100.00,NA,0.00,NA,0.00
104246,Oregon,69.72,Idaho,30.28,NA,0.00
50043,California,38.52,NA,0.00,NA,0.00
104665,Oregon,100.00,NA,0.00,NA,0.00
99617,Idaho,100.00,NA,0.00,NA,0.00
94458,California,100.00,NA,0.00,NA,0.00
72258,California,100.00,NA,0.00,NA,0.00
116699,Oregon,100.00,NA,0.00,NA,0.00
115375,Idaho,100.00,NA,0.00,NA,0.00
50521,California,100.00,NA,0.00,NA,0.00
77335,California,100.00,NA,0.00,NA,0.00
119485,Washington,57.03,Oregon,42.97,NA,0.00
102870,Idaho,100.00,NA,0.00,NA,0.00
44975,California,100.00,NA,0.00,NA,0.00
89390,California,100.00,NA,0.00,NA,0.00
94078,Idaho,100.00,NA,0.00,NA,0.00
128278,Washington,100.00,NA,0.00,NA,0.00
126466,Washington,100.00,NA,0.00,NA,0.00
51448,California,100.00,NA,0.00,NA,0.00
80116,California,100.00,NA,0.00,NA,0.00
114412,Oregon,100.00,NA,0.00,NA,0.00
95875,California,100.00,NA,0.00,NA,0.00
95946,Idaho,100.00,NA,0.00,NA,0.00
113472,Oregon,100.00,NA,0.00,NA,0.00
119042,Washington,100.00,NA,0.00,NA,0.00
96777,California,100.00,NA,0.00,NA,0.00
109335,Oregon,100.00,NA,0.00,NA,0.00
66254,California,100.00,NA,0.00,NA,0.00
95455,Idaho,100.00,NA,0.00,NA,0.00
80111,California,100.00,NA,0.00,NA,0.00
61145,California,100.00,NA,0.00,NA,0.00
132456,Washington,93.54,NA,0.00,NA,0.00
117643,Washington,100.00,NA,0.00,NA,0.00
100586,Idaho,100.00,NA,0.00,NA,0.00
58365,California,100.00,NA,0.00,NA,0.00
92159,California,100.00,NA,0.00,NA,0.00
114854,Oregon,100.00,NA,0.00,NA,0.00
118131,Washington,100.00,NA,0.00,NA,0.00
61174,California,100.00,NA,0.00,NA,0.00
105159,Oregon,100.00,NA,0.00,NA,0.00
101482,Idaho,100.00,NA,0.00,NA,0.00
110232,Oregon,100.00,NA,0.00,NA,0.00
128765,Washington,100.00,NA,0.00,NA,0.00
68574,California,100.00,NA,0.00,NA,0.00
111657,Oregon,100.00,NA,0.00,NA,0.00
72725,California,100.00,NA,0.00,NA,0.00
126901,Washington,100.00,NA,0.00,NA,0.00
126481,Idaho,100.00,NA,0.00,NA,0.00
87060,California,100.00,NA,0.00,NA,0.00
62543,California,100.00,NA,0.00,NA,0.00
66686,California,100.00,NA,0.00,NA,0.00
120885,Washington,100.00,NA,0.00,NA,0.00
106122,Idaho,100.00,NA,0.00,NA,0.00
54239,California,100.00,NA,0.00,NA,0.00
75965,California,100.00,NA,0.00,NA,0.00
121390,Idaho,100.00,NA,0.00,NA,0.00
55603,California,100.00,NA,0.00,NA,0.00
94932,California,100.00,NA,0.00,NA,0.00
