sample_unit_id,grts,BroadHabitat_Class,BroadHabitat_Form
107509,33,Forest & Woodland,Cool Temperate Forest & Woodland
89379,58,Forest & Woodland,Warm Temperate Forest & Woodland
129206,81,Forest & Woodland,Cool Temperate Forest & Woodland
128781,97,Shrub & Herb Vegetation,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland"
53759,102,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
81974,106,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
113025,113,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
53282,118,Developed & Other Human Use,Developed & Urban
96806,122,Forest & Woodland,Temperate Flooded & Swamp Forest
95024,138,Shrub & Herb Vegetation,Temperate Grassland & Shrubland
105134,145,Forest & Woodland,Cool Temperate Forest & Woodland
116264,161,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
96313,170,Forest & Woodland,Warm Temperate Forest & Woodland
101934,177,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
68559,182,Forest & Woodland,Warm Temperate Forest & Woodland
97302,218,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
64849,246,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
131072,257,Agricultural & Developed Vegetation,Pasture & Hay Field Crop
116711,273,Forest & Woodland,Cool Temperate Forest & Woodland
104729,289,"Polar & High Montane Scrub, Grassland & Barrens",Temperate & Boreal Alpine Tundra
73660,298,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
118615,305,Recently Disturbed or Modified,Recently Disturbed or Modified
91701,314,Forest & Woodland,Cool Temperate Forest & Woodland
113930,337,Forest & Woodland,Cool Temperate Forest & Woodland
123700,353,Forest & Woodland,Cool Temperate Forest & Woodland
59324,358,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
102386,369,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
97272,378,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
100552,394,Shrub & Herb Vegetation,Temperate Grassland & Shrubland
109303,401,Forest & Woodland,Cool Temperate Forest & Woodland
130617,417,Forest & Woodland,Cool Temperate Forest & Woodland
96775,426,Forest & Woodland,Cool Temperate Forest & Woodland
115352,433,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
70879,438,Forest & Woodland,Cool Temperate Forest & Woodland
123656,449,Forest & Woodland,Cool Temperate Forest & Woodland
97742,474,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
125092,481,Forest & Woodland,Cool Temperate Forest & Woodland
84737,490,Forest & Woodland,Cool Temperate Forest & Woodland
60212,502,Forest & Woodland,Cool Temperate Forest & Woodland
131055,513,Forest & Woodland,Cool Temperate Forest & Woodland
122740,529,Forest & Woodland,Cool Temperate Forest & Woodland
104277,545,Forest & Woodland,Cool Temperate Forest & Woodland
53774,550,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
74113,554,Forest & Woodland,Cool Temperate Forest & Woodland
118609,561,Forest & Woodland,Cool Temperate Forest & Woodland
99113,570,Forest & Woodland,Cool Temperate Forest & Woodland
94086,586,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
112992,593,Shrub & Herb Vegetation,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland"
120917,609,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
