MonitoringNight	Path	Filename	HiF	LoF	SppAccp	Prob	#Maj	#Accp	~Spp	~Prob	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	mean HiFreq	mean LoFreq	mean UpprSlp	mean LwrSlp	mean TotalSlp	mean PrecedingIntvl	1st	2nd	3rd	4th	User|<--All spp in sqnc	ParentDir	NextDirUp	FileLength(sec)	Version	Filter	AccpQuality	AccpQualForTally	Max#CallsConsidered	Species Manual ID	User|ManualIDSpp2	User|Comments
2018-07-31	Y:\NABat\Oregon\2018_Processed\Charleston_106504\Charleston_106504_NE\Charleston_106504_NE-20180731_192501-noID.wav	Charleston_106504_NE-20180731_192501-noID.wav													Inf												Charleston_106504_NE	Charleston_106504	5.00	4.20	30 kHz	0.80	0.80	16			
2018-07-31	Y:\NABat\Oregon\2018_Processed\Charleston_106504\Charleston_106504_NE\Charleston_106504_NE-20180731_211818-Myev.wav	Charleston_106504_NE-20180731_211818-Myev.wav	1		Myev	1.0000	5	5			34.30	0.54	2.51	0.45	10.01	70.26	28.95	23.39	9.91	15.98	99.86	Myev					Charleston_106504_NE	Charleston_106504	5.00	4.20	30 kHz	0.80	0.80	16	MYEV		
2018-07-31	Y:\NABat\Oregon\2018_Processed\Charleston_106504\Charleston_106504_NE\Charleston_106504_NE-20180731_234936-Myca.wav	Charleston_106504_NE-20180731_234936-Myca.wav	1		Myca	1.0000	9	9			46.57	2.47	3.97	0.79	9.12	93.51	39.43	21.94	6.67	14.38	109.62	Myca					Charleston_106504_NE	Charleston_106504	5.00	4.20	30 kHz	0.80	0.80	16	MYCA		
2018-07-31	Y:\NABat\Oregon\2018_Processed\Charleston_106504\Charleston_106504_NE\Charleston_106504_NE-20180801_002809-noID.wav	Charleston_106504_NE-20180801_002809-noID.wav													Inf												Charleston_106504_NE	Charleston_106504	5.00	4.20	30 kHz	0.80	0.80	16			
2018-07-31	Y:\NABat\Oregon\2018_Processed\Charleston_106504\Charleston_106504_NE\Charleston_106504_NE-20180801_055124-HiF.wav	Charleston_106504_NE-20180801_055124-HiF.wav	1				2	2	Myyu	0.9927	52.60	1.78	3.91	0.39	14.68	97.76	46.92	21.67	6.76	13.42	68.11	Myyu					Charleston_106504_NE	Charleston_106504	5.00	4.20	30 kHz	0.80	0.80	16	MYYU		MYYU 12 of 12 using 20 kHz anti-katydid, lots of low freq noise throwing off classifier
2018-07-31	Y:\NABat\Oregon\2018_Processed\Charleston_106504\Charleston_106504_NE\Charleston_106504_NE-20180801_055142-HiF.wav	Charleston_106504_NE-20180801_055142-HiF.wav	1				1	1	Myca	0.9405	45.23	0.75	3.51	0.55	16.67	106.31	39.19	24.55	6.58	14.95	60.01	Myca					Charleston_106504_NE	Charleston_106504	5.00	4.20	30 kHz	0.80	0.80	16			
2018-07-31	Y:\NABat\Oregon\2018_Processed\Charleston_106504\Charleston_106504_NE\Charleston_106504_NE-20180801_060658-noID.wav	Charleston_106504_NE-20180801_060658-noID.wav													Inf												Charleston_106504_NE	Charleston_106504	5.00	4.20	30 kHz	0.80	0.80	16			
2018-07-31	Y:\NABat\Oregon\2018_Processed\Charleston_106504\Charleston_106504_NE\Charleston_106504_NE-20180801_062200-noID.wav	Charleston_106504_NE-20180801_062200-noID.wav													Inf												Charleston_106504_NE	Charleston_106504	5.00	4.20	30 kHz	0.80	0.80	16			
2018-07-31	Y:\NABat\Oregon\2018_Processed\Charleston_106504\Charleston_106504_SE2\Charleston_106504_SE2-20180731_200833-noID.wav	Charleston_106504_SE2-20180731_200833-noID.wav													Inf												Charleston_106504_SE2	Charleston_106504	0.00	0.00	unfiltered	0.80	0.80	0			
2018-07-31	Y:\NABat\Oregon\2018_Processed\Charleston_106504\Charleston_106504_SE2\Charleston_106504_SE2-20180731_202100-noID.wav	Charleston_106504_SE2-20180731_202100-noID.wav													Inf												Charleston_106504_SE2	Charleston_106504	5.00	4.20	30 kHz	0.80	0.80	16			
